product,price,link,years,kilometraje,created,id,city,state
renault duster iconic 1.3 turbo 4x4,98000000,https://carro.mercadolibre.com.co/mco-1415231981-renault-duster-iconic-13-turbo-4x4-_jm#position=5&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2024,1483,2024-04-21,1415231981,usaquen,bogota d.c.
kia picanto 1.2 vibrant,45000000,https://carro.mercadolibre.com.co/mco-1415308973-kia-picanto-12-vibrant-modelo-2020-_jm#position=6&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2020,37000,2024-04-21,1415308973,bosa,bogota d.c.
volvo xc60 2.0 t5 fwd,68000000,https://carro.mercadolibre.com.co/mco-1415205545-volvo-xc60-20-t5-fwd-_jm#position=7&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2013,87019,2024-04-21,1415205545,santa fe,bogota d.c.
audi q5 3.2 fsi s-tronic quattro,70000000,https://carro.mercadolibre.com.co/mco-1415282589-audi-q5-32-fsi-s-tronic-quattro-2012-_jm#position=8&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2012,90442,2024-04-21,1415282589,medellin,antioquia
suzuki grand vitara 2.4 sz glx sport 4x2,67000000,https://carro.mercadolibre.com.co/mco-1415217215-suzuki-grand-vitara-_jm#position=9&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2019,40000,2024-04-21,1415217215,suba,bogota d.c.
mazda cx-5 2.0 touring,135000000,https://carro.mercadolibre.com.co/mco-1415255557-mazda-cx5-touring-20-_jm#position=10&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2023,10000,2024-04-21,1415255557,suba,bogota d.c.
dodge journey 2.4,27000000,https://carro.mercadolibre.com.co/mco-1415229755-dodge-journey-24-_jm#position=11&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2009,160000,2024-04-21,1415229755,usaquen,bogota d.c.
renault logan 1.6 privilege,37700000,https://carro.mercadolibre.com.co/mco-1415306757-renault-logan-16-privilege-2016-_jm#position=12&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2016,82707,2024-04-21,1415306757,medellin,antioquia
chevrolet tracker 1.8 ls,45000000,https://carro.mercadolibre.com.co/mco-1415293909-chevrolet-tracker-ls-18-_jm#position=13&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2016,59059,2024-04-21,1415293909,suba,bogota d.c.
chevrolet optra 1.4 l,18900000,https://carro.mercadolibre.com.co/mco-1415229435-chevrolet-optra-_jm#position=14&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2006,190759,2024-04-21,1415229435,kennedy,bogota d.c.
volkswagen gol 1.6 power,26700000,https://carro.mercadolibre.com.co/mco-1415203495-volkswagen-gol-power-mt-16-_jm#position=15&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2011,96700,2024-04-21,1415203495,engativa,bogota d.c.
mazda cx-30 2.0 touring,93000000,https://carro.mercadolibre.com.co/mco-1415241555-mazda-cx-30-_jm#position=16&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,46000,2024-04-21,1415241555,engativa,bogota d.c.
volkswagen gol 1.6 trendline,41000000,https://carro.mercadolibre.com.co/mco-1415202791-volkswagen-gol-trendline-mt-16-_jm#position=17&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2019,28500,2024-04-21,1415202791,suba,bogota d.c.
renault logan 1.6 expression,22500000,https://carro.mercadolibre.com.co/mco-1415202537-renault-logan-16-expression-2010-_jm#position=18&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2010,133800,2024-04-21,1415202537,medellin,antioquia
nissan x-trail 2.5 exclusive,92000000,https://carro.mercadolibre.com.co/mco-1415228245-nissan-x-trail-exclusive-25-_jm#position=19&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,74200,2024-04-21,1415228245,usaquen,bogota d.c.
kia niro 1.6 zenith,105000000,https://carro.mercadolibre.com.co/mco-1415189353-kia-niro-16-zenith-hibrido-2022-_jm#position=20&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,30431,2024-04-21,1415189353,kennedy,bogota d.c.
dodge durango 3.6 limited,80000000,https://carro.mercadolibre.com.co/mco-1415240417-dodge-durango-36-_jm#position=21&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2014,60500,2024-04-21,1415240417,suba,bogota d.c.
mercedes-benz clase gle 2.2,165000000,https://carro.mercadolibre.com.co/mco-1415188035-mercedes-benz-gle-250-d-4matic-22-_jm#position=22&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,79500,2024-04-21,1415188035,chapinero,bogota d.c.
hyundai hb20x 1.6 gravity,68500000,https://carro.mercadolibre.com.co/mco-1415200949-hyundai-hb20x-16-gravity-_jm#position=23&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2023,13500,2024-04-21,1415200949,rafael uribe uribe,bogota d.c.
bmw x5 3.0 xdrive45e,325000000,https://carro.mercadolibre.com.co/mco-1415213553-bmw-x5-xdrive45e-30-_jm#position=24&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,30000,2024-04-21,1415213553,suba,bogota d.c.
volvo xc90 2.0 t6 awd r-design,159900000,https://carro.mercadolibre.com.co/mco-1415290263-volvo-xc90-t6-awd-r-design-polestar-20-_jm#position=25&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,32000,2024-04-21,1415290263,chapinero,bogota d.c.
mazda cx-5 2.5 grand touring lx,112000000,https://carro.mercadolibre.com.co/mco-1415238553-mazda-cx-5-25-grand-touring-lx-2018-_jm#position=26&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,80516,2024-04-21,1415238553,medellin,antioquia
